#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0	-5.40968E-23	-0.349206	0.690476	0.357143
0.001	-0.000529018	-0.349016	0.69019	0.356857
0.002	-0.00105804	-0.348825	0.689905	0.356572
0.003	-0.00158705	-0.348635	0.689619	0.356286
0.004	-0.00211607	-0.348444	0.689333	0.356
0.005	-0.00264509	-0.348254	0.689048	0.355714
0.006	-0.00317411	-0.348063	0.688762	0.355429
0.007	-0.00370312	-0.347873	0.688476	0.355143
0.008	-0.00423214	-0.347682	0.68819	0.354857
0.009	-0.00476116	-0.347492	0.687905	0.354571
0.01	-0.00529018	-0.347301	0.687619	0.354286
0.011	-0.00581919	-0.347111	0.687333	0.354
0.012	-0.00634821	-0.34692	0.687048	0.353714
0.013	-0.00687723	-0.34673	0.686762	0.353429
0.014	-0.00740625	-0.346539	0.686476	0.353143
0.015	-0.00793526	-0.346349	0.686191	0.352857
0.016	-0.00846428	-0.346159	0.685905	0.352571
0.017	-0.0089933	-0.345968	0.685619	0.352286
0.018	-0.00952232	-0.345778	0.685333	0.352
0.019	-0.0100513	-0.345587	0.685048	0.351714
0.02	-0.0105804	-0.345397	0.684762	0.351428
0.021	-0.0111094	-0.345206	0.684476	0.351143
0.022	-0.0116384	-0.345016	0.684191	0.350857
0.023	-0.0121674	-0.344825	0.683905	0.350571
0.024	-0.0126964	-0.344635	0.683619	0.350286
0.025	-0.0132254	-0.344444	0.683334	0.35
0.026	-0.0137545	-0.344254	0.683048	0.349714
0.027	-0.0142835	-0.344063	0.682762	0.349428
0.028	-0.0148125	-0.343873	0.682477	0.349143
0.029	-0.0153415	-0.343683	0.682191	0.348857
0.03	-0.0158705	-0.343492	0.681905	0.348571
0.031	-0.0163995	-0.343302	0.681619	0.348285
0.032	-0.0169185	-0.343111	0.681334	0.348
0.033	-0.0174341	-0.342921	0.681048	0.347714
0.034	-0.0179498	-0.34273	0.680762	0.347428
0.035	-0.0184654	-0.34254	0.680477	0.347143
0.036	-0.018981	-0.342349	0.680191	0.346857
0.037	-0.0194966	-0.342159	0.679905	0.346571
0.038	-0.0200123	-0.341968	0.679619	0.346286
0.039	-0.0205279	-0.341778	0.679334	0.346
0.04	-0.0210435	-0.341587	0.679048	0.345714
0.041	-0.0215592	-0.341397	0.678762	0.345428
0.042	-0.0220748	-0.341207	0.678476	0.345143
0.043	-0.0225904	-0.341016	0.678191	0.344857
0.044	-0.023106	-0.340826	0.677905	0.344571
0.045	-0.0236217	-0.340635	0.677619	0.344286
0.046	-0.0241373	-0.340445	0.677334	0.344
0.047	-0.0246529	-0.340254	0.677048	0.343714
0.048	-0.0251685	-0.340064	0.676762	0.343429
0.049	-0.0256842	-0.339873	0.676476	0.343143
0.05	-0.0261998	-0.339683	0.676191	0.342857
0.051	-0.0267154	-0.339492	0.675905	0.342571
0.052	-0.027231	-0.339302	0.675619	0.342286
0.053	-0.0277467	-0.339111	0.675333	0.342
0.054	-0.0282623	-0.338921	0.675048	0.341714
0.055	-0.0287779	-0.33873	0.674762	0.341429
0.056	-0.0292935	-0.33854	0.674476	0.341143
0.057	-0.0298092	-0.33835	0.674191	0.340857
0.058	-0.0303248	-0.338159	0.673905	0.340572
0.059	-0.0308404	-0.337969	0.673619	0.340286
0.06	-0.031356	-0.337778	0.673333	0.34
0.061	-0.0318717	-0.337588	0.673048	0.339715
0.062	-0.0323873	-0.337397	0.672762	0.339429
0.063	-0.0328962	-0.337207	0.672476	0.339143
0.064	-0.0333984	-0.337016	0.67219	0.338857
0.065	-0.0339007	-0.336826	0.671905	0.338572
0.066	-0.0344029	-0.336635	0.671619	0.338286
0.067	-0.0349051	-0.336445	0.671333	0.338
0.068	-0.0354074	-0.336254	0.671047	0.337714
0.069	-0.0359096	-0.336064	0.670762	0.337429
0.07	-0.0364118	-0.335873	0.670476	0.337143
0.071	-0.0369141	-0.335683	0.67019	0.336857
0.072	-0.0374163	-0.335492	0.669905	0.336572
0.073	-0.0379185	-0.335302	0.669619	0.336286
0.074	-0.0384207	-0.335111	0.669333	0.336
0.075	-0.038923	-0.334921	0.669047	0.335714
0.076	-0.0394252	-0.33473	0.668762	0.335429
0.077	-0.0399274	-0.33454	0.668476	0.335143
0.078	-0.0404297	-0.334349	0.66819	0.334857
0.079	-0.0409319	-0.334159	0.667904	0.334571
0.08	-0.0414341	-0.333968	0.667619	0.334286
0.081	-0.0419364	-0.333778	0.667333	0.334
0.082	-0.0424386	-0.333587	0.667047	0.333714
0.083	-0.0429408	-0.333397	0.666762	0.333429
0.084	-0.0434431	-0.333206	0.666476	0.333143
0.085	-0.0439453	-0.333016	0.66619	0.332857
0.086	-0.0444475	-0.332825	0.665904	0.332571
0.087	-0.0449497	-0.332635	0.665619	0.332286
0.088	-0.045452	-0.332444	0.665333	0.332
0.089	-0.0459542	-0.332254	0.665047	0.331714
0.09	-0.0464564	-0.332063	0.664761	0.331428
0.091	-0.0469587	-0.331873	0.664476	0.331143
0.092	-0.0474609	-0.331682	0.66419	0.330857
0.093	-0.0479631	-0.331492	0.663904	0.330571
0.094	-0.048462	-0.331301	0.663619	0.330286
0.095	-0.0489509	-0.331111	0.663333	0.33
0.096	-0.0494397	-0.33092	0.663047	0.329714
0.097	-0.0499285	-0.33073	0.662761	0.329428
0.098	-0.0504174	-0.33054	0.662476	0.329143
0.099	-0.0509062	-0.330349	0.66219	0.328857
0.1	-0.0513951	-0.330159	0.661904	0.328571
0.101	-0.0518839	-0.329968	0.661619	0.328286
0.102	-0.0523727	-0.329778	0.661333	0.328
0.103	-0.0528616	-0.329587	0.661047	0.327714
0.104	-0.0533504	-0.329397	0.660762	0.327429
0.105	-0.0538393	-0.329206	0.660476	0.327143
0.106	-0.0543281	-0.329016	0.66019	0.326857
0.107	-0.054817	-0.328825	0.659905	0.326572
0.108	-0.0553058	-0.328635	0.659619	0.326286
0.109	-0.0557946	-0.328444	0.659333	0.326
0.11	-0.0562835	-0.328254	0.659047	0.325714
0.111	-0.0567723	-0.328063	0.658762	0.325429
0.112	-0.0572612	-0.327873	0.658476	0.325143
0.113	-0.05775	-0.327683	0.65819	0.324857
0.114	-0.0582388	-0.327492	0.657905	0.324572
0.115	-0.0587277	-0.327302	0.657619	0.324286
0.116	-0.0592165	-0.327111	0.657333	0.324
0.117	-0.0597054	-0.326921	0.657048	0.323715
0.118	-0.0601942	-0.32673	0.656762	0.323429
0.119	-0.060683	-0.32654	0.656476	0.323143
0.12	-0.0611719	-0.326349	0.656191	0.322857
0.121	-0.0616607	-0.326159	0.655905	0.322572
0.122	-0.0621496	-0.325968	0.655619	0.322286
0.123	-0.0626384	-0.325778	0.655333	0.322
0.124	-0.0631273	-0.325587	0.655048	0.321715
0.125	-0.0636161	-0.325397	0.654762	0.321429
0.126	-0.0640915	-0.325207	0.654476	0.321143
0.127	-0.064567	-0.325016	0.654191	0.320858
0.128	-0.0650424	-0.324826	0.653905	0.320572
0.129	-0.0655179	-0.324635	0.653619	0.320286
0.13	-0.0659933	-0.324445	0.653333	0.32
0.131	-0.0664688	-0.324254	0.653048	0.319715
0.132	-0.0669442	-0.324064	0.652762	0.319429
0.133	-0.0674197	-0.323873	0.652476	0.319143
0.134	-0.0678951	-0.323683	0.65219	0.318857
0.135	-0.0683706	-0.323492	0.651905	0.318572
0.136	-0.068846	-0.323302	0.651619	0.318286
0.137	-0.0693215	-0.323111	0.651333	0.318
0.138	-0.0697969	-0.322921	0.651048	0.317715
0.139	-0.0702723	-0.32273	0.650762	0.317429
0.14	-0.0707478	-0.32254	0.650476	0.317143
0.141	-0.0712232	-0.322349	0.65019	0.316857
0.142	-0.0716987	-0.322159	0.649905	0.316572
0.143	-0.0721741	-0.321968	0.649619	0.316286
0.144	-0.0726496	-0.321778	0.649333	0.316
0.145	-0.073125	-0.321587	0.649047	0.315714
0.146	-0.0736005	-0.321397	0.648762	0.315429
0.147	-0.0740759	-0.321206	0.648476	0.315143
0.148	-0.0745514	-0.321016	0.64819	0.314857
