#y	Displacement_Y	Pressure	Stress_XX	Stress_ZZ
0	1.0545E-25	-0.333333	0.666667	0.333333
0.001	-0.0005	-0.333333	0.666667	0.333333
0.002	-0.001	-0.333333	0.666667	0.333333
0.003	-0.0015	-0.333333	0.666667	0.333333
0.004	-0.002	-0.333333	0.666667	0.333333
0.005	-0.0025	-0.333333	0.666667	0.333333
0.006	-0.003	-0.333333	0.666667	0.333333
0.007	-0.0035	-0.333333	0.666667	0.333333
0.008	-0.004	-0.333333	0.666667	0.333333
0.009	-0.0045	-0.333333	0.666667	0.333333
0.01	-0.005	-0.333333	0.666667	0.333333
0.011	-0.0055	-0.333333	0.666667	0.333333
0.012	-0.006	-0.333333	0.666667	0.333333
0.013	-0.0065	-0.333333	0.666667	0.333333
0.014	-0.007	-0.333333	0.666667	0.333333
0.015	-0.0075	-0.333333	0.666667	0.333333
0.016	-0.008	-0.333333	0.666667	0.333333
0.017	-0.0085	-0.333333	0.666667	0.333333
0.018	-0.009	-0.333333	0.666667	0.333333
0.019	-0.0095	-0.333333	0.666667	0.333333
0.02	-0.01	-0.333333	0.666667	0.333333
0.021	-0.0105	-0.333333	0.666667	0.333333
0.022	-0.011	-0.333333	0.666667	0.333333
0.023	-0.0115	-0.333333	0.666667	0.333333
0.024	-0.012	-0.333333	0.666667	0.333333
0.025	-0.0125	-0.333333	0.666667	0.333333
0.026	-0.013	-0.333333	0.666667	0.333333
0.027	-0.0135	-0.333333	0.666667	0.333333
0.028	-0.014	-0.333333	0.666667	0.333333
0.029	-0.0145	-0.333333	0.666667	0.333333
0.03	-0.015	-0.333333	0.666667	0.333333
0.031	-0.0155	-0.333333	0.666667	0.333333
0.032	-0.016	-0.333333	0.666667	0.333333
0.033	-0.0165	-0.333333	0.666667	0.333333
0.034	-0.017	-0.333333	0.666667	0.333333
0.035	-0.0175	-0.333333	0.666667	0.333333
0.036	-0.018	-0.333333	0.666667	0.333333
0.037	-0.0185	-0.333333	0.666667	0.333333
0.038	-0.019	-0.333333	0.666667	0.333333
0.039	-0.0195	-0.333333	0.666667	0.333333
0.04	-0.02	-0.333333	0.666667	0.333333
0.041	-0.0205	-0.333333	0.666667	0.333333
0.042	-0.021	-0.333333	0.666667	0.333333
0.043	-0.0215	-0.333333	0.666667	0.333333
0.044	-0.022	-0.333333	0.666667	0.333333
0.045	-0.0225	-0.333333	0.666667	0.333333
0.046	-0.023	-0.333333	0.666667	0.333333
0.047	-0.0235	-0.333333	0.666667	0.333333
0.048	-0.024	-0.333333	0.666667	0.333333
0.049	-0.0245	-0.333333	0.666667	0.333333
0.05	-0.025	-0.333333	0.666667	0.333333
0.051	-0.0255	-0.333333	0.666667	0.333333
0.052	-0.026	-0.333333	0.666667	0.333333
0.053	-0.0265	-0.333333	0.666667	0.333333
0.054	-0.027	-0.333333	0.666667	0.333333
0.055	-0.0275	-0.333333	0.666667	0.333333
0.056	-0.028	-0.333333	0.666667	0.333333
0.057	-0.0285	-0.333333	0.666667	0.333333
0.058	-0.029	-0.333333	0.666667	0.333333
0.059	-0.0295	-0.333333	0.666667	0.333333
0.06	-0.03	-0.333333	0.666667	0.333333
0.061	-0.0305	-0.333333	0.666667	0.333333
0.062	-0.031	-0.333333	0.666667	0.333333
0.063	-0.0315	-0.333333	0.666667	0.333333
0.064	-0.032	-0.333333	0.666667	0.333333
0.065	-0.0325	-0.333333	0.666667	0.333333
0.066	-0.033	-0.333333	0.666667	0.333333
0.067	-0.0335	-0.333333	0.666667	0.333333
0.068	-0.034	-0.333333	0.666667	0.333333
0.069	-0.0345	-0.333333	0.666667	0.333333
0.07	-0.035	-0.333333	0.666667	0.333333
0.071	-0.0355	-0.333333	0.666667	0.333333
0.072	-0.036	-0.333333	0.666667	0.333333
0.073	-0.0365	-0.333333	0.666667	0.333333
0.074	-0.037	-0.333333	0.666667	0.333333
0.075	-0.0375	-0.333333	0.666667	0.333333
0.076	-0.038	-0.333333	0.666667	0.333333
0.077	-0.0385	-0.333333	0.666667	0.333333
0.078	-0.039	-0.333333	0.666667	0.333333
0.079	-0.0395	-0.333333	0.666667	0.333333
0.08	-0.04	-0.333333	0.666667	0.333333
0.081	-0.0405	-0.333333	0.666667	0.333333
0.082	-0.041	-0.333333	0.666667	0.333333
0.083	-0.0415	-0.333333	0.666667	0.333333
0.084	-0.042	-0.333333	0.666667	0.333333
0.085	-0.0425	-0.333333	0.666667	0.333333
0.086	-0.043	-0.333333	0.666667	0.333333
0.087	-0.0435	-0.333333	0.666667	0.333333
0.088	-0.044	-0.333333	0.666667	0.333333
0.089	-0.0445	-0.333333	0.666667	0.333333
0.09	-0.045	-0.333333	0.666667	0.333333
0.091	-0.0455	-0.333333	0.666667	0.333333
0.092	-0.046	-0.333333	0.666667	0.333333
0.093	-0.0465	-0.333333	0.666667	0.333333
0.094	-0.047	-0.333333	0.666667	0.333333
0.095	-0.0475	-0.333333	0.666667	0.333333
0.096	-0.048	-0.333333	0.666667	0.333333
0.097	-0.0485	-0.333333	0.666667	0.333333
0.098	-0.049	-0.333333	0.666667	0.333333
0.099	-0.0495	-0.333333	0.666667	0.333333
0.1	-0.05	-0.333333	0.666667	0.333333
0.101	-0.0505	-0.333333	0.666667	0.333333
0.102	-0.051	-0.333333	0.666667	0.333333
